指标名称,中国:北京:中原领先指数,中国:北京:二手房出售挂牌价指数,中国:北京:二手房出售挂牌量指数,中国:北京:中原报价指数,中国:北京:成交面积(签约):二手房:住宅,中国:北京:成交套数(签约):二手房:住宅,中国:北京:成交套均面积(签约):二手房:住宅,中国:北京:二手住宅租金指数,中国:北京:租金回报率:二手住宅,中国:北京:可售面积:商品房:住宅,中国:北京:批准预售面积:商品房:住宅,中国:北京:供应土地规划建筑面积:住宅类用地,中国:北京:成交土地规划建筑面积:住宅类用地,中国:上海:中原领先指数,中国:上海:二手房出售挂牌价指数,中国:上海:二手房出售挂牌量指数,中国:上海:中原报价指数,中国:上海:成交面积:二手房,中国:上海:成交套数:二手房,中国:上海:成交套均面积:二手房,中国:上海:二手住宅租金指数,中国:上海:租金回报率:二手住宅,中国:上海:可售面积:商品房:住宅,中国:上海:批准预售面积:商品房:住宅,中国:上海:供应土地规划建筑面积:住宅类用地,中国:上海:成交土地规划建筑面积:住宅类用地,中国:深圳:中原领先指数,中国:深圳:二手房出售挂牌价指数,中国:深圳:二手房出售挂牌量指数,中国:深圳:中原报价指数,中国:深圳:成交面积:二手房:住宅,中国:深圳:成交套数:二手房:住宅,中国:深圳:成交套均面积:二手房:住宅,中国:深圳:二手住宅租金指数,中国:深圳:租金回报率:二手住宅,中国:深圳:可售面积:商品房:住宅,中国:深圳:批准预售面积:商品房:住宅,中国:深圳:供应土地规划建筑面积:住宅类用地,中国:深圳:成交土地规划建筑面积:住宅类用地,中国:广州:中原领先指数,中国:广州:二手房出售挂牌价指数,中国:广州:二手房出售挂牌量指数,中国:广州:中原报价指数,中国:广州:成交面积:二手房:住宅,中国:广州:成交套数:二手房:住宅,中国:广州:成交套均面积::二手房:住宅,中国:广州:二手住宅租金指数,中国:广州:租金回报率:二手住宅,中国:广州:可售面积:商品房:住宅,中国:广州:批准预售面积:商品房:住宅,中国:广州:供应土地规划建筑面积:住宅类用地,中国:广州:成交土地规划建筑面积:住宅类用地,上海:城镇常住居民人均可支配收入:累计同比,广东:深圳:居民人均可支配收入:同比,广东:广州:城镇居民人均可支配收入:累计同比,北京:城镇居民人均可支配收入:累计同比,中国:个人住房公积金贷款利率:5年以上,中国:金融机构人民币贷款加权平均利率:个人住房贷款,中国:消费者信心指数:就业,中国:消费者信心指数:收入,中国:消费者信心指数:预期,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:居住:租赁房房租:当月同比,中国:CPI:居住:租赁房房租:环比
2010-05-10,,,,,,,,,,1183.0915,,,,,,,,,,,,,531.8,,,,,,,,,,,,,2152271.57,,,,,,,,,,,,,4082927,,,,,,,,,,,,,,,,
2010-05-11,,,,,,,,,,1182.4638,,,,,,,,,,,,,535.15,,,,,,,,,,,,,2146924.97,,,,,,,,,,,,,4091022,,,,,,,,,,,,,,,,
2010-05-12,,,,,,,,,,1178.3135,,,,,,,,,,,,,539.66,,,,,,,,,,,,,2138854.11,,,,,,,,,,,,,4121011,,,,,,,,,,,,,,,,
2010-05-13,,,,,,,,,,1186.7631,,,,,,,,,,,,,542.1,,,,,,,,,,,,,,,,,,,,,,,,,,4180345,,,,,,,,,,,,,,,,
2010-05-14,,,,,,,,,,1192.7348,,,,,,,,,,,,,549.51,,,,,,,,,,,,,2224282.59,,,,,,,,,,,,,4169090,,,,,,,,,,,,,,,,
2010-05-15,,,,,,,,,,1191.5204,,,,,,,,,,,,,,,,,,,,,,,,,,2222095.13,,,,,,,,,,,,,4155795,,,,,,,,,,,,,,,,
2010-05-16,,,,,335884,3389,99.11006196518147,,,1193.5212,,,,,,,,,,,,,550.67,,,,,,,,273135.21,3357,81.36288650580876,,,2218511.19,,,,,,,,,,,,,4147832,,,,,,,,,,,,,,,,
2010-05-17,,,,,,,,,,1191.8168,,,,,,,,,,,,,548.21,,,,,,,,,,,,,2215379.44,,,,,,,,,,,,,4136647,,,,,,,,,,,,,,,,
2010-05-18,,,,,,,,,,1191.6713,,,,,,,,,,,,,552.74,,,,,,,,,,,,,2199916.31,,,,,,,,,,,,,4145663,,,,,,,,,,,,,,,,
2010-05-19,,,,,,,,,,1197.4327,,,,,,,,,,,,,555.39,,,,,,,,,,,,,2221585.16,,,,,,,,,,,,,4146117,,,,,,,,,,,,,,,,
2010-05-20,,,,,,,,,,1196.4724,,,,,,,,,,,,,557.81,,,,,,,,,,,,,2218976.51,,,,,,,,,,,,,4232184,,,,,,,,,,,,,,,,
2010-05-21,,,,,,,,,,1195.2573,,,,,,,,,,,,,560.76,,,,,,,,,,,,,2218973.51,,,,,,,,,,,,,4243976,,,,,,,,,,,,,,,,
2010-05-22,,,,,,,,,,1193.9523,,,,,,,,,,,,,564.24,,,,,,,,,,,,,,,,,,,,,,,,,,4232708,,,,,,,,,,,,,,,,
2010-05-23,,,,,262304,2648,99.05740181268882,,,1193.2259,,,,,,,,,,,,,563.68,,,,,,,,238383.74,2937,81.16572693224379,,,2210693.4,,,,,,,,,,,,,4220886,,,,,,,,,,,,,,,,
2010-05-24,,,,,,,,,,1191.4556,,,,,,,,,,,,,563.08,,,,,,,,,,,,,2206028.43,,,,,,,,,,,,,4237577,,,,,,,,,,,,,,,,
2010-05-25,,,,,,,,,,1188.5737,,,,,,,,,,,,,565.16,,,,,,,,,,,,,2267337.23,,,,,,,,,,,,,4219031,,,,,,,,,,,,,,,,
2010-05-26,,,,,,,,,,1182.0924,,,,,,,,,,,,,569.26,,,,,,,,,,,,,2262395,,,,,,,,,,,,,4199622,,,,,,,,,,,,,,,,
2010-05-27,,,,,,,,,,1180.1492,,,,,,,,,,,,,574.53,,,,,,,,,,,,,2319145.78,,,,,,,,,,,,,4185308,,,,,,,,,,,,,,,,
2010-05-28,,,,,,,,,,1178.6746,,,,,,,,,,,,,577.47,,,,,,,,,,,,,2315478.78,,,,,,,,,,,,,4185308,,,,,,,,,,,,,,,,
2010-05-29,,,,,,,,,,1182.675,,,,,,,,,,,,,574.74,,,,,,,,,,,,,2313410.32,,,,,,,,,,,,,4257477,,,,,,,,,,,,,,,,
2010-05-30,,,,,263216,2703,97.37920828708842,,,1207.6464,,,,,,,,,,,,,571.81,,,,,,,,181029.73,2287,79.15598163533012,,,2309944.22,,,,,,,,,,,,,4238340,,,,,,,,,,,,,,,,
2010-05-31,407,,,,,,,140.05,2.58,1207.0036,,51.9966,174.6005,236.7337,,,,,,,127.45,2.22,570.75,,20.3289,73.9572,318.5307,,,,,,,120.1,2.66,2305811.42,,0,0,269.1912,,,,71.5957,,,114.6,3.2,4177675,80.36,17.6193,3.1713,,,,,3.87,,,,108.19999999999999,3.1,-0.1,3.6,
2010-06-01,,,,,,,,,,1208.5695,,,,,,,,,,,,,570.86,,,,,,,,,,,,,2328806.47,,,,,,,,,,,,,4166266,,,,,,,,,,,,,,,,
2010-06-02,,,,,,,,,,1207.5013,,,,,,,,,,,,,571.59,,,,,,,,,,,,,2344062.19,,,,,,,,,,,,,4176144,,,,,,,,,,,,,,,,
2010-06-03,,,,,,,,,,1213.8724,,,,,,,,,,,,,571.57,,,,,,,,,,,,,2330711.8,,,,,,,,,,,,,4167249,,,,,,,,,,,,,,,,
2010-06-04,,,,,,,,,,1211.9466,,,,,,,,,,,,,571.34,,,,,,,,,,,,,2361175.56,,,,,,,,,,,,,4150364,,,,,,,,,,,,,,,,
2010-06-05,,,,,,,,,,1210.8065,,,,,,,,,,,,,573.36,,,,,,,,,,,,,2358351.7,,,,,,,,,,,,,4134397,,,,,,,,,,,,,,,,
2010-06-06,,,,,234804,2442,96.15233415233415,,,1211.3405,,,,,,,,,,,,,572.52,,,,,,,,146809.41,1813,80.97595697738555,,,2356324.44,,,,,,,,,,,,,4124837,,,,,,,,,,,,,,,,
2010-06-07,,,,,,,,,,1183.3129,,,,,,,,,,,,,572.09,,,,,,,,,,,,,2349407.35,,,,,,,,,,,,,4119409,,,,,,,,,,,,,,,,
2010-06-08,,,,,,,,,,1180.544,,,,,,,,,,,,,573.98,,,,,,,,,,,,,2341886.22,,,,,,,,,,,,,4155406,,,,,,,,,,,,,,,,
2010-06-09,,,,,,,,,,1179.2773,,,,,,,,,,,,,571.34,,,,,,,,,,,,,2334960.34,,,,,,,,,,,,,4167219,,,,,,,,,,,,,,,,
2010-06-10,,,,,,,,,,1177.8204,,,,,,,,,,,,,571.5,,,,,,,,,,,,,2321406.35,,,,,,,,,,,,,4245066,,,,,,,,,,,,,,,,
2010-06-11,,,,,,,,,,1192.7677,,,,,,,,,,,,,569.68,,,,,,,,,,,,,2314438.83,,,,,,,,,,,,,4256081,,,,,,,,,,,,,,,,
2010-06-12,,,,,,,,,,1191.5227,,,,,,,,,,,,,571.57,,,,,,,,,,,,,2306062.18,,,,,,,,,,,,,4325311,,,,,,,,,,,,,,,,
2010-06-13,,,,,308621,3126,98.72712731925783,,,1193.4154,,,,,,,,,,,,,578.11,,,,,,,,196488.02,2346,83.754484228474,,,2303488.41,,,,,,,,,,,,,4404668,,,,,,,,,,,,,,,,
2010-06-14,,,,,,,,,,1191.3562,,,,,,,,,,,,,580.9,,,,,,,,,,,,,2302029.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-15,,,,,,,,,,1193.5866,,,,,,,,,,,,,580.52,,,,,,,,,,,,,2365967.75,,,,,,,,,,,,,4394053,,,,,,,,,,,,,,,,
2010-06-16,,,,,,,,,,1192.2867,,,,,,,,,,,,,573.29,,,,,,,,,,,,,2364578.02,,,,,,,,,,,,,4389077,,,,,,,,,,,,,,,,
2010-06-17,,,,,,,,,,1189.1428,,,,,,,,,,,,,572.12,,,,,,,,,,,,,2357302.07,,,,,,,,,,,,,4386334,,,,,,,,,,,,,,,,
2010-06-18,,,,,,,,,,1185.2473,,,,,,,,,,,,,570.7,,,,,,,,,,,,,2351669.69,,,,,,,,,,,,,4444017,,,,,,,,,,,,,,,,
2010-06-19,,,,,,,,,,1185.9294,,,,,,,,,,,,,577.06,,,,,,,,,,,,,2345456.78,,,,,,,,,,,,,4427662,,,,,,,,,,,,,,,,
2010-06-20,,,,,114607,1126,101.78241563055062,,,1186.9674,,,,,,,,,,,,,575.93,,,,,,,,45734.47,546,83.76276556776557,,,2341460.26,,,,,,,,,,,,,4418689,,,,,,,,,,,,,,,,
2010-06-21,,,,,,,,,,1184.873,,,,,,,,,,,,,574.82,,,,,,,,,,,,,2396345.5,,,,,,,,,,,,,4408579,,,,,,,,,,,,,,,,
2010-06-22,,,,,,,,,,1182.9726,,,,,,,,,,,,,575.98,,,,,,,,,,,,,2390575.72,,,,,,,,,,,,,4396562,,,,,,,,,,,,,,,,
2010-06-23,,,,,,,,,,1179.3749,,,,,,,,,,,,,574.58,,,,,,,,,,,,,2383803.93,,,,,,,,,,,,,4415417,,,,,,,,,,,,,,,,
2010-06-24,,,,,,,,,,1179.1068,,,,,,,,,,,,,578.81,,,,,,,,,,,,,2374767.24,,,,,,,,,,,,,4386637,,,,,,,,,,,,,,,,
2010-06-25,,,,,,,,,,1184.4955,,,,,,,,,,,,,577.78,,,,,,,,,,,,,2362863.1,,,,,,,,,,,,,4380472,,,,,,,,,,,,,,,,
2010-06-26,,,,,,,,,,1183.3163,,,,,,,,,,,,,578.86,,,,,,,,,,,,,2359505.78,,,,,,,,,,,,,4352987,,,,,,,,,,,,,,,,
2010-06-27,,,,,245971,2490,98.78353413654618,,,1191.398,,,,,,,,,,,,,577.82,,,,,,,,111052.5,1345,82.56691449814126,,,2356876.36,,,,,,,,,,,,,4338648,,,,,,,,,,,,,,,,
2010-06-28,,,,,,,,,,1190.0897,,,,,,,,,,,,,576.42,,,,,,,,,,,,,2306046.88,,,,,,,,,,,,,4340774,,,,,,,,,,,,,,,,
2010-06-29,,,,,,,,,,1188.0365,,,,,,,,,,,,,575.18,,,,,,,,,,,,,2298301.49,,,,,,,,,,,,,4401119,,,,,,,,,,,,,,,,
2010-06-30,396,,,,,,,140.47,2.68,1185.4539,,31.3462,35.7333,228.3,,,,,,,128.78,2.32,574.48,,24.9166,20.3289,310.9,,,,,,,120.02,2.72,2294213.74,,0,0,267,,,,65.2373,,,117.53,3.32,4724272,51.96,32.4943,17.6193,,,10.5,,3.87,4.95,,,108.89999999999999,2.9,-0.6,4.3,
2010-07-01,,,,,,,,,,1190.3187,,,,,,,,,,,,,576.84,,,,,,,,,,,,,2289116.44,,,,,,,,,,,,,4791481,,,,,,,,,,,,,,,,
2010-07-02,,,,,,,,,,1189.0869,,,,,,,,,,,,,576.55,,,,,,,,,,,,,2287659.22,,,,,,,,,,,,,4785587,,,,,,,,,,,,,,,,
2010-07-03,,,,,,,,,,1202.6854,,,,,,,,,,,,,574.78,,,,,,,,,,,,,2287267.43,,,,,,,,,,,,,4770169,,,,,,,,,,,,,,,,
2010-07-04,,,,,259887,2637,98.55403868031854,,,1204.493,,,,,,,,,,,,,574.03,,,,,,,,118405.44,1443,82.05505197505198,,,2285668.95,,,,,,,,,,,,,4757183,,,,,,,,,,,,,,,,
2010-07-05,,,,,,,,,,1202.8381,,,,,,,,,,,,,573.24,,,,,,,,,,,,,2263170.75,,,,,,,,,,,,,4745186,,,,,,,,,,,,,,,,
2010-07-06,,,,,,,,,,1202.2473,,,,,,,,,,,,,572.62,,,,,,,,,,,,,2269741.18,,,,,,,,,,,,,4682383,,,,,,,,,,,,,,,,
2010-07-07,,,,,,,,,,1199.6702,,,,,,,,,,,,,572.04,,,,,,,,,,,,,2265193,,,,,,,,,,,,,4638085,,,,,,,,,,,,,,,,
2010-07-08,,,,,,,,,,1198.7341,,,,,,,,,,,,,575.51,,,,,,,,,,,,,2258500.42,,,,,,,,,,,,,4590226,,,,,,,,,,,,,,,,
2010-07-09,,,,,,,,,,1199.8046,,,,,,,,,,,,,577.96,,,,,,,,,,,,,2255854.6,,,,,,,,,,,,,4585266,,,,,,,,,,,,,,,,
2010-07-10,,,,,,,,,,1198.05,,,,,,,,,,,,,576.64,,,,,,,,,,,,,2253782.62,,,,,,,,,,,,,4570082,,,,,,,,,,,,,,,,
2010-07-11,,,,,208681,2168,96.255073800738,,,1205.262,,,,,,,,,,,,,576.04,,,,,,,,134510.29,1586,84.81102774274905,,,2250677.88,,,,,,,,,,,,,4562174,,,,,,,,,,,,,,,,
2010-07-12,,,,,,,,,,1204.6852,,,,,,,,,,,,,576.71,,,,,,,,,,,,,2238915.88,,,,,,,,,,,,,4617683,,,,,,,,,,,,,,,,
2010-07-13,,,,,,,,,,1201.9868,,,,,,,,,,,,,576.46,,,,,,,,,,,,,2234786.69,,,,,,,,,,,,,4655956,,,,,,,,,,,,,,,,
2010-07-14,,,,,,,,,,1198.599,,,,,,,,,,,,,578.64,,,,,,,,,,,,,2228435.25,,,,,,,,,,,,,4645420,,,,,,,,,,,,,,,,
2010-07-15,,,,,,,,,,1196.257,,,,,,,,,,,,,585.79,,,,,,,,,,,,,2222493.46,,,,,,,,,,,,,4638346,,,,,,,,,,,,,,,,
2010-07-16,,,,,,,,,,1205.4183,,,,,,,,,,,,,583.26,,,,,,,,,,,,,2228133.37,,,,,,,,,,,,,4694558,,,,,,,,,,,,,,,,
2010-07-17,,,,,,,,,,1203.9297,,,,,,,,,,,,,581.32,,,,,,,,,,,,,2223286.89,,,,,,,,,,,,,4680023,,,,,,,,,,,,,,,,
2010-07-18,,,,,222396,2288,97.20104895104895,,,1202.5176,,,,,,,,,,,,,579.13,,,,,,,,136554.75,1694,80.61083234946871,,,2221468.92,,,,,,,,,,,,,4669913,,,,,,,,,,,,,,,,
2010-07-19,,,,,,,,,,1202.7685,,,,,,,,,,,,,578.22,,,,,,,,,,,,,2180019.99,,,,,,,,,,,,,4719726,,,,,,,,,,,,,,,,
2010-07-20,,,,,,,,,,1201.2905,,,,,,,,,,,,,582.77,,,,,,,,,,,,,2148857.88,,,,,,,,,,,,,4702277,,,,,,,,,,,,,,,,
2010-07-21,,,,,,,,,,1204.0271,,,,,,,,,,,,,584.28,,,,,,,,,,,,,2144443.5,,,,,,,,,,,,,4716989,,,,,,,,,,,,,,,,
2010-07-22,,,,,,,,,,1205.6036,,,,,,,,,,,,,583.55,,,,,,,,,,,,,2128091.54,,,,,,,,,,,,,4711943,,,,,,,,,,,,,,,,
2010-07-23,,,,,,,,,,1213.211,,,,,,,,,,,,,583.64,,,,,,,,,,,,,2140766.3,,,,,,,,,,,,,4729881,,,,,,,,,,,,,,,,
2010-07-24,,,,,,,,,,1219.1076,,,,,,,,,,,,,589,,,,,,,,,,,,,2135581.05,,,,,,,,,,,,,4714014,,,,,,,,,,,,,,,,
2010-07-25,,,,,241174,2403,100.36371202663338,,,1217.7011,,,,,,,,,,,,,588.3,,,,,,,,144528.28,1766,81.83934314835787,,,2131547.28,,,,,,,,,,,,,4702481,,,,,,,,,,,,,,,,
2010-07-26,,,,,,,,,,1216.2302,,,,,,,,,,,,,582.49,,,,,,,,,,,,,2033698.5,,,,,,,,,,,,,4680972,,,,,,,,,,,,,,,,
2010-07-27,,,,,,,,,,1213.6015,,,,,,,,,,,,,588.62,,,,,,,,,,,,,2048763.02,,,,,,,,,,,,,4593169,,,,,,,,,,,,,,,,
2010-07-28,,,,,,,,,,1219.3968,,,,,,,,,,,,,588.26,,,,,,,,,,,,,2043869.74,,,,,,,,,,,,,4556448,,,,,,,,,,,,,,,,
2010-07-29,,,,,,,,,,1222.51,,,,,,,,,,,,,588.76,,,,,,,,,,,,,2038368.23,,,,,,,,,,,,,4583244,,,,,,,,,,,,,,,,
2010-07-30,,,,,,,,,,1232.4173,,,,,,,,,,,,,592.08,,,,,,,,,,,,,2054594.47,,,,,,,,,,,,,4572768,,,,,,,,,,,,,,,,
2010-07-31,394,,,,,,,140.3122,2.72,1228.1605,,43.1306,47.6095,227.6042,,,,,,,129.2371,2.34,588.94,,25.9364,24.9166,304.1612,,,,,,,119.7032,2.77,2046913.46,,0,0,265.7568,,,,58.0802,,,116.446,3.3,4550786,75.25,44.1811,15.6931,,,,,3.87,,,,108.60000000000001,3.3,0.4,5.9,
2010-08-01,,,,,262647,2771,94.78419343197402,,,1225.4746,,,,,,,,,,,,,587.95,,,,,,,,156377.3,1960,79.78433673469388,,,2043490.85,,,,,,,,,,,,,4541185,,,,,,,,,,,,,,,,
2010-08-02,,,,,,,,,,1222.5199,,,,,,,,,,,,,586.84,,,,,,,,,,,,,2130774.77,,,,,,,,,,,,,4620662,,,,,,,,,,,,,,,,
2010-08-03,,,,,,,,,,1222.8062,,,,,,,,,,,,,585.45,,,,,,,,,,,,,2133850.97,,,,,,,,,,,,,4603319,,,,,,,,,,,,,,,,
2010-08-04,,,,,,,,,,1230.6634,,,,,,,,,,,,,579.73,,,,,,,,,,,,,2133014.26,,,,,,,,,,,,,4589046,,,,,,,,,,,,,,,,
2010-08-05,,,,,,,,,,1227.6923,,,,,,,,,,,,,581.66,,,,,,,,,,,,,2143153.13,,,,,,,,,,,,,4578553,,,,,,,,,,,,,,,,
2010-08-06,,,,,,,,,,1229.3797,,,,,,,,,,,,,579.64,,,,,,,,,,,,,2138019,,,,,,,,,,,,,4519482,,,,,,,,,,,,,,,,
2010-08-07,,,,,,,,,,1227.6081,,,,,,,,,,,,,581.87,,,,,,,,,,,,,2123572.27,,,,,,,,,,,,,4499500,,,,,,,,,,,,,,,,
2010-08-08,,,,,213871,2197,97.3468365953573,,,1229.3826,,,,,,,,,,,,,581.42,,,,,,,,131359.88,1579,83.1918176060798,,,2122118.31,,,,,,,,,,,,,4484463,,,,,,,,,,,,,,,,
2010-08-09,,,,,,,,,,1227.6407,,,,,,,,,,,,,578.61,,,,,,,,,,,,,2079751.18,,,,,,,,,,,,,4478469,,,,,,,,,,,,,,,,
2010-08-10,,,,,,,,,,1226.0117,,,,,,,,,,,,,576.94,,,,,,,,,,,,,2068847.13,,,,,,,,,,,,,4463241,,,,,,,,,,,,,,,,
2010-08-11,,,,,,,,,,1224.496,,,,,,,,,,,,,575.91,,,,,,,,,,,,,2063987.53,,,,,,,,,,,,,4443310,,,,,,,,,,,,,,,,
2010-08-12,,,,,,,,,,1223.3546,,,,,,,,,,,,,575.64,,,,,,,,,,,,,2160238.85,,,,,,,,,,,,,4499507,,,,,,,,,,,,,,,,
2010-08-13,,,,,,,,,,1232.8489,,,,,,,,,,,,,577.89,,,,,,,,,,,,,2164376.2,,,,,,,,,,,,,4501222,,,,,,,,,,,,,,,,
2010-08-14,,,,,,,,,,1256.4997,,,,,,,,,,,,,578.43,,,,,,,,,,,,,2158593.98,,,,,,,,,,,,,4475700,,,,,,,,,,,,,,,,
2010-08-15,,,,,235991,2542,92.83674272226594,,,1254.7324,,,,,,,,,,,,,576.37,,,,,,,,149617.42,1872,79.92383547008546,,,2155875.67,,,,,,,,,,,,,4456980,,,,,,,,,,,,,,,,
2010-08-16,,,,,,,,,,1256.8671,,,,,,,,,,,,,573.45,,,,,,,,,,,,,2120520.1,,,,,,,,,,,,,4523980,,,,,,,,,,,,,,,,
2010-08-17,,,,,,,,,,1254.447,,,,,,,,,,,,,573.42,,,,,,,,,,,,,2109527.44,,,,,,,,,,,,,4507571,,,,,,,,,,,,,,,,
2010-08-18,,,,,,,,,,1250.8419,,,,,,,,,,,,,582.4,,,,,,,,,,,,,2099590.57,,,,,,,,,,,,,4577045,,,,,,,,,,,,,,,,
2010-08-19,,,,,,,,,,1251.8495,,,,,,,,,,,,,583.68,,,,,,,,,,,,,2096757.81,,,,,,,,,,,,,4613112,,,,,,,,,,,,,,,,
2010-08-20,,,,,,,,,,1252.2275,,,,,,,,,,,,,581.61,,,,,,,,,,,,,2086423.89,,,,,,,,,,,,,4674558,,,,,,,,,,,,,,,,
2010-08-21,,,,,,,,,,1248.6438,,,,,,,,,,,,,587.82,,,,,,,,,,,,,2076830.23,,,,,,,,,,,,,4640463,,,,,,,,,,,,,,,,
2010-08-22,,,,,272160,2885,94.33622183708839,,,1247.9976,,,,,,,,,,,,,585.68,,,,,,,,185920.32,2252,82.55786856127887,,,2072305.44,,,,,,,,,,,,,4625755,,,,,,,,,,,,,,,,
2010-08-23,,,,,,,,,,1244.8853,,,,,,,,,,,,,584.55,,,,,,,,,,,,,2047051.88,,,,,,,,,,,,,4504795,,,,,,,,,,,,,,,,
2010-08-24,,,,,,,,,,1242.795,,,,,,,,,,,,,595.45,,,,,,,,,,,,,2038839.35,,,,,,,,,,,,,4467400,,,,,,,,,,,,,,,,
2010-08-25,,,,,,,,,,1252.6249,,,,,,,,,,,,,600.91,,,,,,,,,,,,,2042561.28,,,,,,,,,,,,,4459112,,,,,,,,,,,,,,,,
2010-08-26,,,,,,,,,,1254.6257,,,,,,,,,,,,,599.81,,,,,,,,,,,,,2220349.22,,,,,,,,,,,,,4474891,,,,,,,,,,,,,,,,
2010-08-27,,,,,,,,,,1252.715,,,,,,,,,,,,,602.67,,,,,,,,,,,,,2206493.37,,,,,,,,,,,,,4600808,,,,,,,,,,,,,,,,
2010-08-28,,,,,,,,,,1270.1025,,,,,,,,,,,,,605.28,,,,,,,,,,,,,2198405.67,,,,,,,,,,,,,4490615,,,,,,,,,,,,,,,,
2010-08-29,,,,,305637,3296,92.72967233009709,,,1267.3731,,,,,,,,,,,,,599.99,,,,,,,,261941.72,3070,85.32303583061889,,,2184347.12,,,,,,,,,,,,,4469941,,,,,,,,,,,,,,,,
2010-08-30,,,,,,,,,,1266.4623,,,,,,,,,,,,,597.19,,,,,,,,,,,,,2206496.27,,,,,,,,,,,,,4503025,,,,,,,,,,,,,,,,
2010-08-31,408,,,,,,,140.4232,2.74,1261.0833,,95.4509,43.1306,229.9122,,,,,,,129.2903,2.31,599.1,,316.1462,119.0575,303.9833,,,,,,,119.2232,2.76,2174567.73,,0,0,269.9891,,,,65.8281,,,116.5922,3.25,4497492,46.33,128.4208,44.1811,,,,,3.87,,,,107.9,3.5,0.6,6.5,
2010-09-01,,,,,,,,,,1269.7182,,,,,,,,,,,,,603.11,,,,,,,,,,,,,2164090.05,,,,,,,,,,,,,4511272,,,,,,,,,,,,,,,,
2010-09-02,,,,,,,,,,1267.0599,,,,,,,,,,,,,604.05,,,,,,,,,,,,,2148441.77,,,,,,,,,,,,,4532144,,,,,,,,,,,,,,,,
2010-09-03,,,,,,,,,,1269.6262,,,,,,,,,,,,,601.42,,,,,,,,,,,,,2132505.58,,,,,,,,,,,,,4577693,,,,,,,,,,,,,,,,
2010-09-04,,,,,,,,,,1268.4437,,,,,,,,,,,,,,,,,,,,,,,,,,2116213.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-05,,,,,318815,3472,91.82459677419355,,,1266.6899,,,,,,,,,,,,,,,,,,,,,336239.29,3943,85.27499112351002,,,2108936.06,,,,,,,,,,,,,4515896,,,,,,,,,,,,,,,,
2010-09-06,,,,,,,,,,1263.4076,,,,,,,,,,,,,600.89,,,,,,,,,,,,,2101779.94,,,,,,,,,,,,,4556651,,,,,,,,,,,,,,,,
2010-09-07,,,,,,,,,,1260.0704,,,,,,,,,,,,,600.49,,,,,,,,,,,,,2214235.32,,,,,,,,,,,,,4530327,,,,,,,,,,,,,,,,
2010-09-08,,,,,,,,,,1252.3633,,,,,,,,,,,,,600.19,,,,,,,,,,,,,2219157.34,,,,,,,,,,,,,4501266,,,,,,,,,,,,,,,,
2010-09-09,,,,,,,,,,1236.3658,,,,,,,,,,,,,605.87,,,,,,,,,,,,,2179786.69,,,,,,,,,,,,,4507785,,,,,,,,,,,,,,,,
2010-09-10,,,,,,,,,,1248.9121,,,,,,,,,,,,,608.18,,,,,,,,,,,,,2170535.48,,,,,,,,,,,,,4485680,,,,,,,,,,,,,,,,
2010-09-11,,,,,,,,,,1244.3516,,,,,,,,,,,,,611.66,,,,,,,,,,,,,2152703.18,,,,,,,,,,,,,4434654,,,,,,,,,,,,,,,,
2010-09-12,,,,,331733,3610,91.89279778393352,,,1243.2201,,,,,,,,,,,,,611.66,,,,,,,,152838.47,1794,85.1942419175028,,,2147027.37,,,,,,,,,,,,,4401304,,,,,,,,,,,,,,,,
2010-09-13,,,,,,,,,,1238.9987,,,,,,,,,,,,,609.58,,,,,,,,,,,,,2206369.71,,,,,,,,,,,,,4452837,,,,,,,,,,,,,,,,
2010-09-14,,,,,,,,,,1235.8442,,,,,,,,,,,,,611.26,,,,,,,,,,,,,2329689.58,,,,,,,,,,,,,4422270,,,,,,,,,,,,,,,,
2010-09-15,,,,,,,,,,1241.9115,,,,,,,,,,,,,623.46,,,,,,,,,,,,,2318410.93,,,,,,,,,,,,,4470418,,,,,,,,,,,,,,,,
2010-09-16,,,,,,,,,,1239.7081,,,,,,,,,,,,,623.85,,,,,,,,,,,,,2308875.64,,,,,,,,,,,,,4547892,,,,,,,,,,,,,,,,
2010-09-17,,,,,,,,,,1237.1053,,,,,,,,,,,,,624.78,,,,,,,,,,,,,2370451.08,,,,,,,,,,,,,4660186,,,,,,,,,,,,,,,,
2010-09-18,,,,,,,,,,1236.5189,,,,,,,,,,,,,621.81,,,,,,,,,,,,,2348181.58,,,,,,,,,,,,,4609462,,,,,,,,,,,,,,,,
2010-09-19,,,,,394827,4253,92.83494004232307,,,1235.3777,,,,,,,,,,,,,617.79,,,,,,,,236414.67,2773,85.25592138478183,,,2327748.06,,,,,,,,,,,,,4882240,,,,,,,,,,,,,,,,
2010-09-20,,,,,,,,,,1233.5966,,,,,,,,,,,,,617.74,,,,,,,,,,,,,2356383.07,,,,,,,,,,,,,4908432,,,,,,,,,,,,,,,,
2010-09-21,,,,,,,,,,1259.6771,,,,,,,,,,,,,632.73,,,,,,,,,,,,,2508012.51,,,,,,,,,,,,,5153631,,,,,,,,,,,,,,,,
2010-09-22,,,,,,,,,,1263.6704,,,,,,,,,,,,,641.49,,,,,,,,,,,,,2489710.97,,,,,,,,,,,,,5128787,,,,,,,,,,,,,,,,
